struct,subject,feature,family,cov,n_raters
ut,D1-008,shape_aspect_zx,shape,0.17370063198081956,3
ut,D1-008,shape_elong_21,shape,0.11428127789984104,3
ut,D1-008,shape_elong_31,shape,0.25319401686641085,3
ut,D1-008,shape_flatness,shape,0.1729746066007088,3
ut,D1-008,shape_sa_vol_norm,shape,0.17888390634729626,3
ut,D1-008,shape_sphericity,shape,0.16392526449729217,3
ut,D1-008,size_area_mm2,size,0.4929031163451825,3
ut,D1-008,size_bbox_diag,size,0.2681821985883222,3
ut,D1-008,size_bbox_x,size,0.36894773987499263,3
ut,D1-008,size_bbox_y,size,0.1885786998869704,3
ut,D1-008,size_bbox_z,size,0.20016142884378174,3
ut,D1-008,size_centroid,size,0.1837088024911768,3
ut,D1-008,size_volume_mm3,size,0.46542300932401576,3
ut,D1-009,shape_aniso,shape,0.028033346055031546,2
ut,D1-009,shape_aspect_yx,shape,0.07935764678378047,2
ut,D1-009,shape_aspect_zx,shape,0.016646669127770283,2
ut,D1-009,shape_elong_21,shape,0.01590022746436447,2
ut,D1-009,shape_elong_31,shape,0.06735157656188961,2
ut,D1-009,shape_flatness,shape,0.08316274459503474,2
ut,D1-009,shape_sa_vol_norm,shape,0.04483104685708105,2
ut,D1-009,shape_sphericity,shape,0.04483104685708113,2
ut,D1-009,size_area_mm2,size,0.06524829669224247,2
ut,D1-009,size_bbox_diag,size,0.07524985890847743,2
ut,D1-009,size_bbox_x,size,0.045566782126610576,2
ut,D1-009,size_bbox_y,size,0.12447432072966284,2
ut,D1-009,size_bbox_z,size,0.06216629593406305,2
ut,D1-009,size_centroid,size,0.03397988791257201,2
ut,D1-009,size_volume_mm3,size,0.03071035704037865,2
ut,D1-010,shape_aniso,shape,0.03455313167205315,3
ut,D1-010,shape_aspect_yx,shape,0.0037969139970790654,3
ut,D1-010,shape_aspect_zx,shape,0.02099593165094893,3
ut,D1-010,shape_elong_21,shape,0.07735527546051195,3
ut,D1-010,shape_elong_31,shape,0.04051670660805507,3
ut,D1-010,shape_flatness,shape,0.08975309973759746,3
ut,D1-010,shape_sa_vol_norm,shape,0.00709516839946509,3
ut,D1-010,shape_sphericity,shape,0.007062248415536809,3
ut,D1-010,size_area_mm2,size,0.018546325045181816,3
ut,D1-010,size_bbox_diag,size,0.004313128313204089,3
ut,D1-010,size_bbox_x,size,0.0067743401483424705,3
ut,D1-010,size_bbox_y,size,0.005045751315482259,3
ut,D1-010,size_bbox_z,size,0.017510160005266426,3
ut,D1-010,size_centroid,size,0.011077969886019062,3
ut,D1-010,size_volume_mm3,size,0.037344783473552516,3
ut,D1-017,shape_aniso,shape,0.06640207977073356,2
ut,D1-017,shape_aspect_yx,shape,0.09472275984998534,2
ut,D1-017,shape_aspect_zx,shape,0.07075864701720352,2
ut,D1-017,shape_elong_21,shape,0.11421697665424052,2
ut,D1-017,shape_elong_31,shape,0.17177303938278735,2
ut,D1-017,shape_flatness,shape,0.05870787586562612,2
ut,D1-017,shape_sa_vol_norm,shape,0.05108794670981949,2
ut,D1-017,shape_sphericity,shape,0.05108794670981955,2
ut,D1-017,size_area_mm2,size,0.09984732882306714,2
ut,D1-017,size_bbox_diag,size,0.05061846403416531,2
ut,D1-017,size_bbox_x,size,0.09316328945211265,2
ut,D1-017,size_bbox_y,size,0.0015733547562490962,2
ut,D1-017,size_bbox_z,size,0.022553316339040303,2
ut,D1-017,size_centroid,size,0.045816541683218415,2
ut,D1-017,size_volume_mm3,size,0.07344054817676532,2
ut,D1-019,shape_aniso,shape,0.05860580897254011,2
ut,D1-019,shape_aspect_yx,shape,0.11199137796671642,2
ut,D1-019,shape_aspect_zx,shape,0.06987895752834221,2
ut,D1-019,shape_elong_21,shape,0.1271089338179442,2
ut,D1-019,shape_elong_31,shape,0.14061391500676232,2
ut,D1-019,shape_flatness,shape,0.2630217855388327,2
ut,D1-019,shape_sa_vol_norm,shape,0.05406240526912591,2
ut,D1-019,shape_sphericity,shape,0.05406240526912587,2
ut,D1-019,size_area_mm2,size,0.004921039632941132,2
ut,D1-019,size_bbox_diag,size,0.027216494610132588,2
ut,D1-019,size_bbox_x,size,0.006928238722914347,2
ut,D1-019,size_bbox_y,size,0.11882741813924057,2
ut,D1-019,size_bbox_z,size,0.06298121040893723,2
ut,D1-019,size_centroid,size,0.019226638815828808,2
ut,D1-019,size_volume_mm3,size,0.08832361735831175,2
ut,D1-020,shape_aniso,shape,0.1827235747109734,2
ut,D1-020,shape_aspect_yx,shape,0.19994388020048284,2
ut,D1-020,shape_aspect_zx,shape,0.25705641239524707,2
ut,D1-020,shape_elong_21,shape,0.5186685756682048,2
ut,D1-020,shape_elong_31,shape,0.5468850506782326,2
ut,D1-020,shape_flatness,shape,0.039389345075958315,2
ut,D1-020,shape_sa_vol_norm,shape,0.07922321245092623,2
ut,D1-020,shape_sphericity,shape,0.079223212450926,2
ut,D1-020,size_area_mm2,size,0.0316346334084225,2
ut,D1-020,size_bbox_diag,size,0.04303120709326254,2
ut,D1-020,size_bbox_x,size,0.16114452372400634,2
ut,D1-020,size_bbox_y,size,0.04009108569892391,2
ut,D1-020,size_bbox_z,size,0.10005655466278626,2
ut,D1-020,size_centroid,size,0.08693196206335226,2
ut,D1-020,size_volume_mm3,size,0.07149439706312039,2
ut,D1-023,shape_aniso,shape,0.054058351734343854,2
ut,D1-023,shape_aspect_yx,shape,0.01843748771589383,2
ut,D1-023,shape_aspect_zx,shape,0.0234770125094788,2
ut,D1-023,shape_elong_21,shape,0.10392549545910566,2
ut,D1-023,shape_elong_31,shape,0.12747663412105417,2
ut,D1-023,shape_flatness,shape,0.023867334840973704,2
ut,D1-023,shape_sa_vol_norm,shape,0.011027427312791884,2
ut,D1-023,shape_sphericity,shape,0.011027427312791925,2
ut,D1-023,size_area_mm2,size,0.036797092607706486,2
ut,D1-023,size_bbox_diag,size,0.007950046641530439,2
ut,D1-023,size_bbox_x,size,0.01966781145372989,2
ut,D1-023,size_bbox_y,size,0.0012307700458634816,2
ut,D1-023,size_bbox_z,size,0.003810960734305413,2
ut,D1-023,size_centroid,size,4.7053358015488964e-05,2
ut,D1-023,size_volume_mm3,size,0.038659482900432564,2
ut,D1-024,shape_aniso,shape,0.032725257143897374,2
ut,D1-024,shape_aspect_yx,shape,0.05899609370355515,2
